State,FileID,PromptID,DocID,Temp,ThreadID,HeadScore,ExScoreP,ExScoreR,ExScoreF1,UT,UT1,UT2
I,3,0,0,0.4,thread_AHTKxxWtdVbaw6GF8OTPaREa,1.0,0.020,-0.372,-0.182,0.000,0.000,0.000
I,3,0,0,0.4,thread_90LIxz4bPkLubIrEssur5cXJ,1.0,0.020,-0.372,-0.182,0.222,0.167,0.333
S,4,0,0,0.4,thread_m9BX7B8UthLPGXVkcAM1Dqps,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,4,0,0,0.4,thread_BSmguZH0YJOCMysobbyt1tD2,0.0,-0.035,-0.206,-0.120,0.000,0.000,0.000
S,4,0,0,0.4,thread_TWwHRgH1JurxahBxbtVW9Pwb,0.0,-0.040,-0.108,-0.072,0.000,0.000,0.000
S,4,0,0,0.4,thread_qYgA1WPTiKmFf6CKxCOj7UGn,0.0,-0.057,-0.134,-0.094,0.000,0.000,0.000
S,4,0,0,0.4,thread_eX684UVJRtjJnF4dhSVKLSQg,0.0,-0.064,-0.183,-0.123,0.000,0.000,0.000
S,4,0,0,0.4,thread_QSvIe2d4glrCUnrhJ4aAYbca,1.0,0.021,-0.165,-0.072,1.000,1.000,1.000
S,4,0,0,0.4,thread_uAOjZSKCNftXdsBCOaRQQsqw,0.0,-0.041,-0.244,-0.143,0.000,0.000,0.000
S,4,0,0,0.4,thread_97ipULVImvhVbPazBRq82xd8,0.0,-0.028,-0.123,-0.074,0.000,0.000,0.000
S,4,0,0,0.4,thread_8vUXiBgSsgSM51SLzvv5MwZ3,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,4,0,0,0.4,thread_S2lXsbnbjlSMQ3dnrkpqRpBO,0.0,-0.074,-0.168,-0.120,0.000,0.000,0.000
S,5,0,0,0.4,thread_xKzTKUW9zCa93NfKHLleT3QT,0.0,-0.054,-0.230,-0.141,0.000,0.000,0.000
S,5,0,0,0.4,thread_QzIczni4hriwt3L2cNU3kbIq,0.0,-0.091,-0.239,-0.164,0.000,0.000,0.000
S,5,0,0,0.4,thread_QJxyGc78wEyTRjV3QzUk54Lp,0.0,-0.064,-0.183,-0.123,0.000,0.000,0.000
S,5,0,0,0.4,thread_6Olq8C12wcD25xFMx9CivRo6,0.0,-0.064,-0.183,-0.123,0.000,0.000,0.000
S,5,0,0,0.4,thread_B5c0MFfnrXVkQz2FalPPitTH,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,5,0,0,0.4,thread_tuT14bcehLeFPW6QrLAwI4Ct,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,5,0,0,0.4,thread_1ElJrb5GQQN9k6lqeC940uym,0.0,-0.077,-0.194,-0.134,0.000,0.000,0.000
S,5,0,0,0.4,thread_fKVRuKgH5uxRaVwogZUwjKSi,0.0,-0.071,-0.199,-0.134,0.000,0.000,0.000
I,0,1,0,0.4,thread_zmeT2jqpAmW4racSjw4mqnQa,0.0,0.027,-0.138,-0.055,0.000,0.000,0.000
I,0,1,0,0.4,thread_rNyx2djuSyJGRwBVbgYGx62I,0.0,0.014,-0.208,-0.097,0.000,0.000,0.000
I,0,1,0,0.4,thread_xwPQ8UW9oQrsPvcLVOtxhO0t,0.0,0.012,-0.150,-0.069,0.000,0.000,0.000
I,0,1,0,0.4,thread_E1dCarB4k2epcipIbvYozLrf,0.0,0.026,-0.136,-0.054,0.000,0.000,0.000
I,0,1,0,0.4,thread_HNoN632uISnfaKZS8cWaw9BM,1.0,0.093,-0.347,-0.135,0.000,0.000,0.000
I,0,1,0,0.4,thread_lY96dYPbeH9CjdT80qKMsh0Y,1.0,0.058,-0.152,-0.048,0.286,0.167,1.000
